timeOpen,open,high,low,close,volume,marketCap,Crypt
"Saturday, July 5, 2025",147.76,148.59,146.08,147.64,1579874805.59,78966485553.51,SOL
"Friday, July 4, 2025",152.40,153.56,145.45,147.76,3575641174.34,79013232509.51,SOL
"Thursday, July 3, 2025",152.23,156.19,150.15,152.40,3748228100.51,81494050425.25,SOL
"Wednesday, July 2, 2025",146.93,154.41,146.23,152.23,3941952132.03,81382647669.85,SOL
"Tuesday, July 1, 2025",154.74,155.35,145.21,146.93,3599415508.67,78549448699.85,SOL
"Monday, June 30, 2025",153.35,159.63,149.61,154.74,4752163066.81,82701856960.78,SOL
"Sunday, June 29, 2025",150.83,154.42,149.53,153.35,2462940244.85,81963377458.94,SOL
"Saturday, June 28, 2025",142.19,152.44,141.35,150.83,2847495210.09,80593958699.66,SOL
"Friday, June 27, 2025",139.06,144.40,137.79,142.19,3327165986.04,75980670112.69,SOL
"Thursday, June 26, 2025",143.51,147.73,138.81,139.06,3480832173.34,74303661339.00,SOL
"Wednesday, June 25, 2025",145.95,147.77,142.56,143.51,3095794422.13,76679151715.86,SOL
"Tuesday, June 24, 2025",144.85,146.59,142.57,145.95,3709899361.86,77531616866.90,SOL
"Monday, June 23, 2025",131.62,146.60,131.16,144.85,5742740781.18,76943814163.72,SOL
"Sunday, June 22, 2025",135.20,137.55,126.83,131.62,4990284543.42,69899321471.32,SOL
"Saturday, June 21, 2025",140.17,142.50,132.41,135.16,3335622844.10,71800988630.37,SOL
"Friday, June 20, 2025",147.07,148.72,136.51,140.17,4112242022.48,74424179047.84,SOL
"Thursday, June 19, 2025",146.36,147.79,143.11,147.07,2754965136.85,77652967159.34,SOL
"Wednesday, June 18, 2025",147.75,149.16,143.97,146.35,3507323343.52,77256758785.70,SOL
"Tuesday, June 17, 2025",150.86,154.15,145.87,147.75,4505742897.14,77992598042.76,SOL
"Monday, June 16, 2025",152.81,158.61,150.87,150.87,4629439778.33,79618907582.73,SOL
"Sunday, June 15, 2025",144.76,153.22,144.36,152.81,3600058126.51,80647906419.78,SOL
"Saturday, June 14, 2025",148.63,148.65,142.23,144.76,2159011897.21,76381304795.20,SOL
"Friday, June 13, 2025",152.79,152.79,141.44,148.63,6346327306.07,78425039636.52,SOL
"Thursday, June 12, 2025",161.06,161.20,152.24,152.79,3655760294.29,80331221959.59,SOL
"Wednesday, June 11, 2025",165.03,168.02,159.43,161.06,5292694829.92,84592072186.72,SOL
"Tuesday, June 10, 2025",161.09,165.53,156.84,165.03,4891108456.04,86627312350.64,SOL
"Monday, June 9, 2025",152.43,161.50,149.84,161.09,3689102023.27,84562687738.72,SOL
"Sunday, June 8, 2025",150.13,155.04,148.22,152.43,1928262264.70,79995828532.61,SOL
"Saturday, June 7, 2025",147.91,152.83,147.19,150.13,1895979261.10,78791955617.70,SOL
"Friday, June 6, 2025",144.54,152.02,144.44,147.91,2780168622.47,77517785592.12,SOL
"Thursday, June 5, 2025",153.36,154.56,141.90,144.54,4691163986.84,75754504530.12,SOL
"Wednesday, June 4, 2025",155.34,157.85,153.18,153.36,2694510572.15,80356505098.30,SOL
